order_item_id,order_id,product_id,quantity,unit_price,discount_pct,cost_price_at_sale
1,1,24,3,3013.98,2.28,1731.5
2,1,14,2,3101.56,2.21,1653.99
3,2,6,2,4524.34,2.33,2423.6
4,2,23,3,3998.97,10.5,2126.28
5,3,18,3,5069.09,20.51,2768.25
6,3,19,2,1579.21,7.86,1042.58
7,3,7,1,3336.23,12.76,1975.36
8,4,31,2,2700.0,39.08,2500.0
9,5,27,2,2259.37,15.23,1531.14
10,5,6,2,4524.34,22.25,2423.6
11,5,24,2,3013.98,15.98,1731.5
12,6,5,3,3775.0,10.65,1745.57
13,6,14,2,3101.56,5.97,1653.99
14,6,9,3,3032.25,17.36,1837.78
15,6,4,1,2911.73,1.88,1620.58
16,7,28,1,5083.77,2.65,2896.91
17,7,18,1,5069.09,10.75,2768.25
18,8,15,2,2079.21,36.14,1257.62
19,8,1,1,457.62,33.11,341.45
20,8,31,1,2700.0,33.83,2500.0
21,9,31,1,2700.0,6.15,2500.0
22,9,7,1,3336.23,11.1,1975.36
23,9,25,1,1405.94,0.21,683.23
24,9,11,2,3625.98,12.17,1795.44
25,10,31,1,2700.0,27.38,2500.0
26,11,16,2,2352.78,0.74,1141.59
27,11,19,3,1579.21,2.54,1042.58
28,12,26,2,491.47,2.35,302.79
29,12,16,2,2352.78,10.34,1141.59
30,12,5,3,3775.0,2.96,1745.57
31,13,12,2,1088.03,41.23,682.84
32,13,2,3,344.87,26.15,214.37
33,14,28,3,5083.77,10.25,2896.91
34,15,31,1,2700.0,41.56,2500.0
35,16,5,2,3775.0,12.19,1745.57
36,16,4,1,2911.73,2.77,1620.58
37,16,31,3,2700.0,0.93,2500.0
38,16,12,1,1088.03,2.12,682.84
39,17,17,1,1223.23,10.38,641.7
40,17,18,3,5069.09,2.31,2768.25
41,18,31,3,2700.0,1.49,2500.0
42,18,4,2,2911.73,1.1,1620.58
43,18,7,3,3336.23,0.69,1975.36
44,19,31,2,2700.0,12.76,2500.0
45,20,15,2,2079.21,6.25,1257.62
46,20,18,1,5069.09,10.36,2768.25
47,20,4,1,2911.73,7.41,1620.58
48,20,26,1,491.47,17.6,302.79
49,21,24,1,3013.98,6.69,1731.5
50,21,16,2,2352.78,11.78,1141.59
51,21,13,3,903.79,22.28,474.77
52,22,23,3,3998.97,39.27,2126.28
53,23,20,1,1292.37,6.59,671.68
54,24,31,1,2700.0,40.25,2500.0
55,25,6,3,4524.34,1.52,2423.6
56,25,26,1,491.47,1.3,302.79
57,26,26,3,491.47,10.95,302.79
58,26,5,1,3775.0,2.34,1745.57
59,27,21,2,2309.06,1.61,1257.12
60,28,8,1,4716.54,2.42,2251.56
61,28,3,1,3011.45,10.44,2079.85
62,29,31,2,2700.0,7.46,2500.0
63,29,29,3,2293.25,20.75,1316.03
64,30,31,1,2700.0,0.59,2500.0
65,31,31,3,2700.0,7.75,2500.0
66,31,13,3,903.79,17.43,474.77
67,32,31,3,2700.0,12.47,2500.0
68,33,23,1,3998.97,0.82,2126.28
69,33,10,1,1456.11,6.94,736.49
70,33,31,1,2700.0,0.84,2500.0
71,34,23,2,3998.97,22.34,2126.28
72,35,31,3,2700.0,5.09,2500.0
73,36,15,1,2079.21,0.74,1257.62
74,36,4,1,2911.73,11.06,1620.58
75,36,12,1,1088.03,6.78,682.84
76,37,10,3,1456.11,7.51,736.49
77,37,12,2,1088.03,0.27,682.84
78,37,15,1,2079.21,21.43,1257.62
79,38,31,2,2700.0,0.07,2500.0
80,38,10,1,1456.11,22.58,736.49
81,38,24,3,3013.98,11.76,1731.5
82,38,21,1,2309.06,2.2,1257.12
83,39,23,1,3998.97,1.14,2126.28
84,40,31,3,2700.0,12.55,2500.0
85,40,3,1,3011.45,12.76,2079.85
86,40,15,3,2079.21,2.81,1257.62
87,41,31,1,2700.0,11.34,2500.0
88,41,16,3,2352.78,1.05,1141.59
89,42,11,2,3625.98,17.65,1795.44
90,42,25,1,1405.94,17.37,683.23
91,43,3,2,3011.45,0.96,2079.85
92,44,31,1,2700.0,22.83,2500.0
93,44,22,3,1824.54,17.11,1243.57
94,45,31,2,2700.0,28.49,2500.0
95,46,17,3,1223.23,5.89,641.7
96,46,31,2,2700.0,22.52,2500.0
97,46,28,1,5083.77,7.47,2896.91
98,47,19,1,1579.21,17.53,1042.58
99,48,25,1,1405.94,12.66,683.23
100,48,29,1,2293.25,6.32,1316.03
101,48,18,3,5069.09,0.45,2768.25
102,48,7,1,3336.23,12.42,1975.36
103,49,27,3,2259.37,16.72,1531.14
104,49,20,1,1292.37,12.71,671.68
105,50,10,1,1456.11,15.52,736.49
106,50,14,1,3101.56,0.13,1653.99
107,50,31,3,2700.0,10.61,2500.0
108,51,5,1,3775.0,31.6,1745.57
109,51,21,2,2309.06,33.83,1257.12
110,52,31,3,2700.0,2.77,2500.0
111,53,17,2,1223.23,16.72,641.7
112,53,12,2,1088.03,10.43,682.84
113,54,4,3,2911.73,17.76,1620.58
114,54,2,2,344.87,5.93,214.37
115,55,29,2,2293.25,7.19,1316.03
116,55,6,1,4524.34,15.63,2423.6
117,56,11,1,3625.98,7.13,1795.44
118,57,31,1,2700.0,39.23,2500.0
119,58,18,2,5069.09,16.52,2768.25
120,58,8,3,4716.54,0.73,2251.56
121,59,23,1,3998.97,7.25,2126.28
122,59,19,1,1579.21,10.15,1042.58
123,59,14,1,3101.56,7.03,1653.99
124,60,31,1,2700.0,1.8,2500.0
125,60,20,3,1292.37,6.27,671.68
126,60,23,2,3998.97,5.65,2126.28
127,61,24,3,3013.98,5.9,1731.5
128,62,18,2,5069.09,5.57,2768.25
129,62,16,1,2352.78,11.98,1141.59
130,63,17,2,1223.23,31.88,641.7
131,63,13,2,903.79,37.35,474.77
132,64,11,3,3625.98,20.54,1795.44
133,64,31,1,2700.0,7.18,2500.0
134,64,12,3,1088.03,11.96,682.84
135,65,22,2,1824.54,6.76,1243.57
136,65,8,2,4716.54,2.6,2251.56
137,66,31,3,2700.0,11.59,2500.0
138,66,10,1,1456.11,6.03,736.49
139,66,30,1,2120.42,12.59,1542.79
140,67,21,3,2309.06,0.01,1257.12
141,67,11,3,3625.98,1.47,1795.44
142,67,6,1,4524.34,11.9,2423.6
143,67,31,2,2700.0,0.11,2500.0
144,68,1,3,457.62,5.68,341.45
145,68,20,1,1292.37,1.15,671.68
146,68,11,1,3625.98,0.89,1795.44
147,69,9,2,3032.25,16.08,1837.78
148,69,26,1,491.47,5.67,302.79
149,69,14,3,3101.56,1.77,1653.99
150,70,25,3,1405.94,7.31,683.23
151,70,4,3,2911.73,1.96,1620.58
152,70,31,3,2700.0,1.25,2500.0
153,70,17,2,1223.23,0.62,641.7
154,71,31,3,2700.0,6.87,2500.0
155,71,27,1,2259.37,22.16,1531.14
156,73,31,3,2700.0,17.73,2500.0
157,74,31,1,2700.0,15.45,2500.0
158,74,7,2,3336.23,6.37,1975.36
159,74,17,2,1223.23,0.3,641.7
160,75,8,1,4716.54,0.03,2251.56
161,75,31,3,2700.0,0.99,2500.0
162,75,18,3,5069.09,1.12,2768.25
163,76,31,2,2700.0,0.34,2500.0
164,76,4,1,2911.73,1.25,1620.58
165,77,25,2,1405.94,2.59,683.23
